QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,AttributionNote,OriginalTheme,SourceURL
SG011,A clear destination makes daily decisions easier to judge.,All,Discipline,Growth,inspired_by,The 7 Habits of Highly Effective People,Stephen R. Covey,Inspired by the book's core ideas; NOT a verbatim excerpt.,Effectiveness & Principles,https://www.forbes.com/sites/entertainment/article/best-self-help-books/
SG012,Strong relationships grow when both sides are treated as capable of winning.,All,Discipline,Self-Worth,inspired_by,The 7 Habits of Highly Effective People,Stephen R. Covey,Inspired by the book's core ideas; NOT a verbatim excerpt.,Effectiveness & Principles,https://www.forbes.com/sites/entertainment/article/best-self-help-books/
SG013,"Listen to understand the person, not merely to prepare your reply.",All,Discipline,Growth,inspired_by,The 7 Habits of Highly Effective People,Stephen R. Covey,Inspired by the book's core ideas; NOT a verbatim excerpt.,Effectiveness & Principles,https://www.forbes.com/sites/entertainment/article/best-self-help-books/
SG014,Different strengths become an advantage when ego stops demanding sameness.,All,Discipline,Growth,inspired_by,The 7 Habits of Highly Effective People,Stephen R. Covey,Inspired by the book's core ideas; NOT a verbatim excerpt.,Effectiveness & Principles,https://www.forbes.com/sites/entertainment/article/best-self-help-books/
SG015,Renew your energy before exhaustion turns every priority into a burden.,All,Discipline,Discipline & Action,inspired_by,The 7 Habits of Highly Effective People,Stephen R. Covey,Inspired by the book's core ideas; NOT a verbatim excerpt.,Effectiveness & Principles,https://www.forbes.com/sites/entertainment/article/best-self-help-books/
SG016,Character creates a form of success that techniques alone cannot sustain.,All,Discipline,Dreams,inspired_by,The 7 Habits of Highly Effective People,Stephen R. Covey,Inspired by the book's core ideas; NOT a verbatim excerpt.,Effectiveness & Principles,https://www.forbes.com/sites/entertainment/article/best-self-help-books/
SG017,People remember genuine interest longer than impressive conversation.,All,Communication & Social Skills,Peace & Letting Go,inspired_by,How to Win Friends and Influence People,Dale Carnegie,Inspired by the book's core ideas; NOT a verbatim excerpt.,Relationships & Communication,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG018,Respect opens doors that clever arguments often close.,All,Communication & Social Skills,Self-Worth,inspired_by,How to Win Friends and Influence People,Dale Carnegie,Inspired by the book's core ideas; NOT a verbatim excerpt.,Relationships & Communication,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG019,"Names, details, and attention tell people they were important enough to remember.",All,Communication & Social Skills,Self-Worth,inspired_by,How to Win Friends and Influence People,Dale Carnegie,Inspired by the book's core ideas; NOT a verbatim excerpt.,Relationships & Communication,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG020,Criticism creates resistance faster than it creates change.,All,Communication & Social Skills,Self-Worth,inspired_by,How to Win Friends and Influence People,Dale Carnegie,Inspired by the book's core ideas; NOT a verbatim excerpt.,Relationships & Communication,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG021,Appreciation is most powerful when it is specific and sincere.,All,Communication & Social Skills,Self-Worth,inspired_by,How to Win Friends and Influence People,Dale Carnegie,Inspired by the book's core ideas; NOT a verbatim excerpt.,Relationships & Communication,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG022,Influence improves when people feel heard before they feel advised.,All,Communication & Social Skills,Self-Worth,inspired_by,How to Win Friends and Influence People,Dale Carnegie,Inspired by the book's core ideas; NOT a verbatim excerpt.,Relationships & Communication,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG023,Let another person keep dignity even when correction is necessary.,All,Communication & Social Skills,Self-Worth,inspired_by,How to Win Friends and Influence People,Dale Carnegie,Inspired by the book's core ideas; NOT a verbatim excerpt.,Relationships & Communication,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG024,Good conversation is less about performing and more about making room for someone else.,All,Communication & Social Skills,Self-Worth,inspired_by,How to Win Friends and Influence People,Dale Carnegie,Inspired by the book's core ideas; NOT a verbatim excerpt.,Relationships & Communication,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG025,A vague wish becomes more useful when it turns into a definite aim.,All,Goals,Dreams,inspired_by,Think and Grow Rich,Napoleon Hill,Inspired by the book's core ideas; NOT a verbatim excerpt.,Ambition & Achievement,https://www.penguinrandomhouse.com/books/562654/ultimate-success-featuring-think-and-grow-rich-as-a-man-thinketh-and-the-power-of-your-subconscious-mind-by-napoleon-hill-james-allen-joseph-murphy/
SG026,Persistence matters most after excitement has stopped doing the work for you.,All,Goals,Dreams,inspired_by,Think and Grow Rich,Napoleon Hill,Inspired by the book's core ideas; NOT a verbatim excerpt.,Ambition & Achievement,https://www.penguinrandomhouse.com/books/562654/ultimate-success-featuring-think-and-grow-rich-as-a-man-thinketh-and-the-power-of-your-subconscious-mind-by-napoleon-hill-james-allen-joseph-murphy/
SG027,Surround yourself with minds that challenge your standards and sharpen your thinking.,All,Goals,Self-Worth,inspired_by,Think and Grow Rich,Napoleon Hill,Inspired by the book's core ideas; NOT a verbatim excerpt.,Ambition & Achievement,https://www.penguinrandomhouse.com/books/562654/ultimate-success-featuring-think-and-grow-rich-as-a-man-thinketh-and-the-power-of-your-subconscious-mind-by-napoleon-hill-james-allen-joseph-murphy/
SG028,Fear becomes expensive when it repeatedly makes decisions on your behalf.,All,Goals,Dreams,inspired_by,Think and Grow Rich,Napoleon Hill,Inspired by the book's core ideas; NOT a verbatim excerpt.,Ambition & Achievement,https://www.penguinrandomhouse.com/books/562654/ultimate-success-featuring-think-and-grow-rich-as-a-man-thinketh-and-the-power-of-your-subconscious-mind-by-napoleon-hill-james-allen-joseph-murphy/
SG029,"Focused desire needs a plan, and plans need the courage to be revised.",All,Goals,Discipline & Action,inspired_by,Think and Grow Rich,Napoleon Hill,Inspired by the book's core ideas; NOT a verbatim excerpt.,Ambition & Achievement,https://www.penguinrandomhouse.com/books/562654/ultimate-success-featuring-think-and-grow-rich-as-a-man-thinketh-and-the-power-of-your-subconscious-mind-by-napoleon-hill-james-allen-joseph-murphy/
SG030,Opportunity is easier to recognize when you are already preparing for it.,All,Goals,Dreams,inspired_by,Think and Grow Rich,Napoleon Hill,Inspired by the book's core ideas; NOT a verbatim excerpt.,Ambition & Achievement,https://www.penguinrandomhouse.com/books/562654/ultimate-success-featuring-think-and-grow-rich-as-a-man-thinketh-and-the-power-of-your-subconscious-mind-by-napoleon-hill-james-allen-joseph-murphy/
SG031,Belief does not replace action; it strengthens the action you are willing to repeat.,All,Goals,Believe in Yourself,inspired_by,Think and Grow Rich,Napoleon Hill,Inspired by the book's core ideas; NOT a verbatim excerpt.,Ambition & Achievement,https://www.penguinrandomhouse.com/books/562654/ultimate-success-featuring-think-and-grow-rich-as-a-man-thinketh-and-the-power-of-your-subconscious-mind-by-napoleon-hill-james-allen-joseph-murphy/
SG032,"Success grows when intention, planning, learning, and persistence begin moving in the same direction.",All,Goals,Dreams,inspired_by,Think and Grow Rich,Napoleon Hill,Inspired by the book's core ideas; NOT a verbatim excerpt.,Ambition & Achievement,https://www.penguinrandomhouse.com/books/562654/ultimate-success-featuring-think-and-grow-rich-as-a-man-thinketh-and-the-power-of-your-subconscious-mind-by-napoleon-hill-james-allen-joseph-murphy/
SG033,Much of anxiety lives in a future your body has not actually entered.,All,Peace,Peace & Letting Go,inspired_by,The Power of Now,Eckhart Tolle,Inspired by the book's core ideas; NOT a verbatim excerpt.,Presence & Peace,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG034,Return attention to this moment before your mind turns one problem into ten.,All,Peace,Peace & Letting Go,inspired_by,The Power of Now,Eckhart Tolle,Inspired by the book's core ideas; NOT a verbatim excerpt.,Presence & Peace,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG035,You can observe a thought without allowing it to become your identity.,All,Peace,Peace & Letting Go,inspired_by,The Power of Now,Eckhart Tolle,Inspired by the book's core ideas; NOT a verbatim excerpt.,Presence & Peace,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG036,Peace grows when you stop demanding that the present be different before you can inhabit it.,All,Peace,Discipline & Action,inspired_by,The Power of Now,Eckhart Tolle,Inspired by the book's core ideas; NOT a verbatim excerpt.,Presence & Peace,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG037,"Your life is always being experienced now, even when your mind keeps leaving the room.",All,Peace,Peace & Letting Go,inspired_by,The Power of Now,Eckhart Tolle,Inspired by the book's core ideas; NOT a verbatim excerpt.,Presence & Peace,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG038,"Awareness creates a small space between emotion and reaction, and that space can change everything.",All,Peace,Peace & Letting Go,inspired_by,The Power of Now,Eckhart Tolle,Inspired by the book's core ideas; NOT a verbatim excerpt.,Presence & Peace,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG039,Presence is not passivity; it is seeing clearly before you act.,All,Peace,Peace & Letting Go,inspired_by,The Power of Now,Eckhart Tolle,Inspired by the book's core ideas; NOT a verbatim excerpt.,Presence & Peace,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG040,Do not let yesterday and tomorrow consume the only moment you can actually use.,All,Peace,Peace & Letting Go,inspired_by,The Power of Now,Eckhart Tolle,Inspired by the book's core ideas; NOT a verbatim excerpt.,Presence & Peace,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG041,Use words in ways that leave less damage behind you.,All,Relationships,Self-Worth,inspired_by,The Four Agreements,Don Miguel Ruiz,Inspired by the book's core ideas; NOT a verbatim excerpt.,Self-Mastery & Relationships,https://global.penguinrandomhouse.com/announcements/theres-a-book-for-that-self-help/
SG042,Other people's reactions often reveal their inner world more than your worth.,All,Relationships,Self-Worth,inspired_by,The Four Agreements,Don Miguel Ruiz,Inspired by the book's core ideas; NOT a verbatim excerpt.,Self-Mastery & Relationships,https://global.penguinrandomhouse.com/announcements/theres-a-book-for-that-self-help/
SG043,Questions prevent many of the wounds created by assumptions.,All,Relationships,Self-Worth,inspired_by,The Four Agreements,Don Miguel Ruiz,Inspired by the book's core ideas; NOT a verbatim excerpt.,Self-Mastery & Relationships,https://global.penguinrandomhouse.com/announcements/theres-a-book-for-that-self-help/
SG044,Your best will change from day to day; integrity means bringing what is honestly available.,All,Relationships,Self-Worth,inspired_by,The Four Agreements,Don Miguel Ruiz,Inspired by the book's core ideas; NOT a verbatim excerpt.,Self-Mastery & Relationships,https://global.penguinrandomhouse.com/announcements/theres-a-book-for-that-self-help/
SG045,Freedom grows when you stop building your identity from other people's opinions.,All,Relationships,Self-Worth,inspired_by,The Four Agreements,Don Miguel Ruiz,Inspired by the book's core ideas; NOT a verbatim excerpt.,Self-Mastery & Relationships,https://global.penguinrandomhouse.com/announcements/theres-a-book-for-that-self-help/
SG046,Speak clearly enough that imagination does not have to fill every gap.,All,Relationships,Self-Worth,inspired_by,The Four Agreements,Don Miguel Ruiz,Inspired by the book's core ideas; NOT a verbatim excerpt.,Self-Mastery & Relationships,https://global.penguinrandomhouse.com/announcements/theres-a-book-for-that-self-help/
SG047,Personal peace improves when you take responsibility for your conduct without claiming responsibility for everyone else's.,All,Relationships,Peace & Letting Go,inspired_by,The Four Agreements,Don Miguel Ruiz,Inspired by the book's core ideas; NOT a verbatim excerpt.,Self-Mastery & Relationships,https://global.penguinrandomhouse.com/announcements/theres-a-book-for-that-self-help/
SG048,Simple principles become life-changing only when they survive difficult moments.,All,Relationships,Self-Worth,inspired_by,The Four Agreements,Don Miguel Ruiz,Inspired by the book's core ideas; NOT a verbatim excerpt.,Self-Mastery & Relationships,https://global.penguinrandomhouse.com/announcements/theres-a-book-for-that-self-help/
SG049,"Even when circumstances narrow your options, your attitude can remain a place of choice.",All,Resilience,Resilience,inspired_by,Man's Search for Meaning,Viktor E. Frankl,Inspired by the book's core ideas; NOT a verbatim excerpt.,Meaning & Resilience,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
SG050,Meaning can carry a person through pain that comfort alone cannot explain.,All,Resilience,Resilience,inspired_by,Man's Search for Meaning,Viktor E. Frankl,Inspired by the book's core ideas; NOT a verbatim excerpt.,Meaning & Resilience,https://www.penguinrandomhouse.com/books/best-sellers-self-improvement-inspiration/
